"season;race_num;race_name;race_date;drive;car;team;team_group;rank;grid;laps;duration;retired;ptsl;points"
"1;1;2014 Beijing;13/09/2014;Lucas di Grassi;11;Audi Sport ABT;Audi;1;2;25;52:23.413;0;25,0,0;25"
"1;1;2014 Beijing;13/09/2014;Franck Montagny;27;Andretti;BMW-Andretti;2;8;25;2867;0;18,0,0;18"
"1;1;2014 Beijing;13/09/2014;Sam Bird;2;Virgin Racing;Virgin;3;11;25;6559;0;15,0,0;15"
"1;1;2014 Beijing;13/09/2014;Charles Pic;28;Andretti;BMW-Andretti;4;7;25;19301;0;12,0,0;12"
"1;1;2014 Beijing;13/09/2014;Karun Chandhok;5;Mahindra Racing;Mahindra;5;4;25;23952;0;10,0,0;10"
"1;1;2014 Beijing;13/09/2014;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;6;12;25;31664;0;8,0,0;8"
"1;1;2014 Beijing;13/09/2014;Oriol Servià;6;Dragon Racing;Dragon;7;10;25;41968;0;6,0,0;6"
"1;1;2014 Beijing;13/09/2014;Nelson Piquet Jr.;99;China Racing;NIO-NextEV;8;9;25;43896;0;4,0,0;4"
"1;1;2014 Beijing;13/09/2014;Stéphane Sarrazin;30;Venturi;Venturi;9;19;25;43975;0;2,0,0;2"
"1;1;2014 Beijing;13/09/2014;Daniel Abt;66;Audi Sport ABT;Audi;10;3;25;+1:02.5071;0;1,0,0;1"
"1;1;2014 Beijing;13/09/2014;Jaime Alguersuari;3;Virgin Racing;Virgin;11;6;25;+2:00.6131;0;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Michela Cerruti;18;Trulli;Trulli;12;16;24;+1 lap;0;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Katherine Legge;77;Amlin Aguri;Techeetah;13;14;24;+1 lap2;0;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Ho-Pin Tung;88;China Racing;NIO-NextEV;14;26;23;+2 laps;0;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Nico Prost;8;e.dams-Renault;Nissan-Renault;99;1;24;99:99.999;1;0,3,0;3"
"1;1;2014 Beijing;13/09/2014;Nick Heidfeld;23;Venturi;Venturi;99;5;24;99:99.999;1;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Bruno Senna;21;Mahindra Racing;Mahindra;99;15;0;99:99.999;1;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Jarno Trulli;10;Trulli;Trulli;99;20;2;99:99.999;1;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;99;18;14;99:99.999;1;0,0,0;0"
"1;1;2014 Beijing;13/09/2014;Takuma Sato;55;Amlin Aguri;Techeetah;99;13;21;99:99.999;1;0,0,2;2"
