season;race_num;race_name;race_date;driver;car;team;team_group;rank;grid;laps;retired;ptsl
1;1;2014 Beijing;13/09/2014;Lucas di Grassi;11;Audi Sport ABT;AUDI;1;2;25;0;25,0,0
1;1;2014 Beijing;13/09/2014;Franck Montagny;27;Andretti;BMW_ANDRETTI;2;8;25;0;18,0,0
1;1;2014 Beijing;13/09/2014;Sam Bird;2;Virgin Racing;VIRGIN;3;11;25;0;15,0,0
1;1;2014 Beijing;13/09/2014;Charles Pic;28;Andretti;BMW_ANDRETTI;4;7;25;0;12,0,0
1;1;2014 Beijing;13/09/2014;Karun Chandhok;5;Mahindra Racing;MAHINDRA;5;4;25;0;10,0,0
1;1;2014 Beijing;13/09/2014;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;6;12;25;0;8,0,0
1;1;2014 Beijing;13/09/2014;Oriol Servià;6;Dragon Racing;DRAGON;7;10;25;0;6,0,0
1;1;2014 Beijing;13/09/2014;Nelson Piquet Jr.;99;China Racing;NIO_NEXTEV;8;9;25;0;4,0,0
1;1;2014 Beijing;13/09/2014;Stephane Sarrazin;30;Venturi;VENTURI;9;19;25;0;2,0,0
1;1;2014 Beijing;13/09/2014;Daniel Abt;66;Audi Sport ABT;AUDI;10;3;25;0;1,0,0
1;1;2014 Beijing;13/09/2014;Jaime Alguersuari;3;Virgin Racing;VIRGIN;11;6;25;0;0,0,0
1;1;2014 Beijing;13/09/2014;Michela Cerruti;18;Trulli;TRULLI;12;16;25;0;0,0,0
1;1;2014 Beijing;13/09/2014;Katherine Legge;77;Amlin Aguri;TECHEETAH;13;14;25;0;0,0,0
1;1;2014 Beijing;13/09/2014;Ho-Pin Tung;88;China Racing;NIO_NEXTEV;14;26;25;0;0,0,0
1;1;2014 Beijing;13/09/2014;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;99;1;25;1;0,3,0
1;1;2014 Beijing;13/09/2014;Nick Heidfeld;23;Venturi;VENTURI;99;5;25;1;0,0,0
1;1;2014 Beijing;13/09/2014;Bruno Senna;21;Mahindra Racing;MAHINDRA;99;15;25;1;0,0,0
1;1;2014 Beijing;13/09/2014;Jarno Trulli;10;Trulli;TRULLI;99;20;25;1;0,0,0
1;1;2014 Beijing;13/09/2014;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;99;18;25;1;0,0,0
1;1;2014 Beijing;13/09/2014;Takuma Sato;55;Amlin Aguri;TECHEETAH;99;13;25;1;0,0,2
1;2;2014 Putrajaya;22/11/2014;Sam Bird;2;Virgin Racing;VIRGIN;1;2;31;0;25,0,0
1;2;2014 Putrajaya;22/11/2014;Lucas di Grassi;11;Audi Sport ABT;AUDI;2;18;31;0;18,0,0
1;2;2014 Putrajaya;22/11/2014;Sebastien Buemi;9;e.dams-Renault;NISSAN_RENAULT;3;19;31;0;15,0,0
1;2;2014 Putrajaya;22/11/2014;Nico Prost;8;e.dams-Renault;NISSAN_RENAULT;4;11;31;0;12,3,0
1;2;2014 Putrajaya;22/11/2014;Jerôme d'Ambrosio;7;Dragon Racing;DRAGON;5;20;31;0;10,0,0
1;2;2014 Putrajaya;22/11/2014;Karun Chandhok;5;Mahindra Racing;MAHINDRA;6;5;31;0;8,0,0
1;2;2014 Putrajaya;22/11/2014;Oriol Servià;6;Dragon Racing;DRAGON;7;1;31;0;6,0,0
1;2;2014 Putrajaya;22/11/2014;António Felix da Costa;55;Amlin Aguri;TECHEETAH;8;10;31;0;4,0,0
1;2;2014 Putrajaya;22/11/2014;Jaime Alguersuari;3;Virgin Racing;VIRGIN;9;17;31;0;2,0,2
